Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts 
Lance Ball,FA,11.3,44.2,0.1,1,6.3,0,0.1,5.5
Quinn Johnson,TEN,4.9,12.3,0,5.3,40.5,0,0,5.3
Tommy Bohanon,NYJ,1.4,5.4,0,4.7,44.7,0,0,5
Michael Smith,TB,10.7,41.8,0,1.3,8,0,0,5
Antone Smith,ATL,9.2,35.8,0.3,0,0,0,0.1,5
Dorin Dickerson,FA,0,0,0,5.4,49.4,0,0,4.9
DuJuan Harris,GB,4.4,19.6,0.4,0,0,0,0,4.6
Marcus Thigpen,MIA,7,32.7,0,2.3,19,0,0.3,4.5
Matt Asiata,MIN,5.5,20.3,0.1,2.2,14.4,0.1,0.1,4.5
David Johnson,FA,0,0,0,5.4,42.7,0,0,4.3
Owen Marecic,FA,0.7,0.9,0,0.7,41.2,0,0,4.2
Dan Herron,FA,11,41,0,0,0,0,0,4.1
Theo Riddick,DET,8.7,32.9,0.2,0,0,0,0.1,4.1
Tauren Poole,FA,6.6,26,0.3,0,0,0,0.1,4
Ryan Torain,FA,5.8,24.9,0,2.7,15.1,0,0,4
Lawrence Vickers,FA,2,3.4,0,4.7,35.4,0,0,3.9
Jalen Parmele,FA,10.7,38.7,0,0,0,0,0,3.9
Jonas Gray,FA,7.4,38.7,0,0,0,0,0,3.9
Bradie Ewing,ATL,3.6,12,0,3.1,20.4,0,0,3.2
Anthony Allen,FA,7.5,26.9,0.1,0,0,0,0,3.2
Erik Lorig,TB,3.6,13.8,0,3.1,16.9,0,0,3.1
James Develin,NE,0,0,0,4.7,30,0,0,3
Anthony Sherman,KC,1.4,4,0,4,24,0,0,2.8
Jamie McCoy,FA,0,0,0,2,22,0,0,2.2
Kyle Juszczyk,BAL,0,0,0,2.7,21.4,0,0,2.1
Bobby Rainey,CLE,5,21,0,0,0,0,0,2.1
Will Ta'ufo'ou,JAC,2,5.4,0,3.4,14.7,0,0,2
John Conner,FA,4.7,19.4,0,0,0,0,0,1.9
Stefan Logan,FA,6,32,0,1.4,10.7,0,1.4,1.6
Chris Gronkowski,SD,1.4,4,0,2,10,0,0,1.4
Brit Miller,FA,1.4,3.4,0,0.7,9.4,0,0,1.3
Nate Eachus,FA,2,6.7,0,1.4,6,0,0,1.3
Armond Smith,CAR,4,12,0,0,0,0,0,1.2
Corey McIntyre,FA,0.7,1.4,0,1.4,10,0,0,1.1
Manase Tonga,FA,0,4,0,1.4,6,0,0,1
Reagan Maui'a,ARI,0,0,0,0.7,8.7,0,0,0.9
Brock Bolen,FA,0.7,3.4,0,0.7,4.7,0,0,0.8
Thomas Clayton,FA,3.4,6.7,0,0,0.7,0,0,0.7
Eddie Williams,CLE,0.7,0.7,0,0,5.4,0,0,0.6
Moran Norris,FA,0.7,0,0,0.7,4.7,0,0,0.5
